Date,EnergyConsumption
07/10/2018, 3.185 
08/10/2018, 3.508 
09/10/2018, 3.541 
10/10/2018, 3.529 
11/10/2018, 3.486 
12/10/2018, 3.490 
13/10/2018, 3.418 
14/10/2018, 3.173 
15/10/2018, 3.503 
16/10/2018, 3.573 
17/10/2018, 3.585 
18/10/2018, 3.570 
19/10/2018, 3.553 
20/10/2018, 3.426 
21/10/2018, 3.235 
22/10/2018, 3.559 
23/10/2018, 3.606 
24/10/2018, 3.590 
25/10/2018, 3.563 
26/10/2018, 3.535 
27/10/2018, 3.440 
28/10/2018, 3.238 
29/10/2018, 3.468 
30/10/2018, 3.581 
31/10/2018, 3.604 
01/11/2018, 3.609 
02/11/2018, 3.595 
03/11/2018, 3.469 
04/11/2018, 3.221 
05/11/2018, 3.550 
06/11/2018, 3.555 
07/11/2018, 3.548 
08/11/2018, 3.496 
09/11/2018, 3.471 
10/11/2018, 3.314 
11/11/2018, 3.137 
12/11/2018, 3.476 
13/11/2018, 3.542 
14/11/2018, 3.520 
15/11/2018, 3.545 
16/11/2018, 3.546 
17/11/2018, 3.471 
18/11/2018, 3.255 
19/11/2018, 3.466 
20/11/2018, 3.159 
21/11/2018, 3.522 
22/11/2018, 3.539 
23/11/2018, 3.563 
24/11/2018, 3.437 
25/11/2018, 3.212 
26/11/2018, 3.418 
27/11/2018, 3.456 
28/11/2018, 3.433 
29/11/2018, 3.442 
30/11/2018, 3.419 
01/12/2018, 3.317 
02/12/2018, 3.124 
03/12/2018, 3.358 
04/12/2018, 3.424 
05/12/2018, 3.392 
06/12/2018, 3.440 
